bathrooms,detailedType.subTypology,detailedType.typology,district,exterior,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,highlight.groupDescription,municipality,newDevelopment,newDevelopmentFinished,numPhotos,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,propertyType,rooms,showAddress,size,status,topPlus,floor_cat,has_neighborhood,has_Discount,terraza,atico,garaje,ascensor,espaciosa,luminoso,reformado,obra_nueva,céntrico,interior,antiguo,a_reformar,sin_ascensor,okupa,oscuro,pequeño,mal_ubicado,cercano_metro,cercano_supermercado,cercano_colegio,cercano_hospital,cercano_farmacia,cercano_mall,cercano_correos,cercano_policia,cercano_cultural,gimnasio,piscina,padel,zonas_comunes,parque,score_final,distancia_al_centro,size_per_room,amenities_score,zona_cluster
2,5,2,38,1,0.0,0,0,1,1,0,0,3,25,1,0,2,1,1,0.0,4,3,1,90.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41.38241346802569,30.0,13,21
2,1,2,29,1,1.0,0,0,1,1,0,1,0,7,0,0,4,1,1,0.0,3,2,0,108.0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,28.16798107688307,54.0,8,35
4,4,0,1,0,0.0,0,0,0,0,0,0,1,7,0,0,4,1,1,0.0,0,5,0,158.0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,28,27.461898382835653,31.6,29,7
2,1,2,15,1,3.0,1,1,1,1,0,0,1,2,0,0,4,1,1,0.0,3,4,0,195.0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,16,4.188530933419633,48.75,22,32
1,1,2,126,1,4.0,0,0,0,0,0,0,3,32,0,0,3,0,0,28000.0,3,3,0,61.0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,11,12.433917335869925,20.33333333333333,12,42
1,7,2,190,1,5.0,0,0,1,1,0,0,3,2,0,0,3,0,0,28000.0,5,1,0,65.0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1.52663530571204,65.0,22,17
1,1,2,126,1,4.0,0,0,0,1,0,1,3,27,0,0,2,0,0,28000.0,3,3,0,91.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,15,17.86563562684181,30.33333333333333,18,31
1,1,2,220,1,2.0,0,0,1,0,0,0,3,2,0,0,4,0,0,28000.0,3,3,0,83.0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,4.45743713065391,27.666666666666668,15,39
1,1,2,198,0,1.0,0,0,0,0,0,0,3,13,0,0,1,0,0,28000.0,3,1,0,102.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,15,24.736594073409144,102.0,15,28
4,4,0,21,0,0.0,0,1,0,1,0,1,1,9,0,0,4,1,1,0.0,0,5,0,334.0,2,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,17.650749795795925,66.8,11,46
1,1,2,134,1,3.0,1,0,1,1,0,0,3,0,0,0,4,0,0,28000.0,3,3,0,69.0,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,18,37.22053899138331,23.0,22,47
4,5,2,114,1,6.0,0,0,1,0,0,0,3,2,0,0,1,0,0,28000.0,4,5,0,341.0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.6165245614435624,68.2,12,39
4,3,2,133,1,10.0,0,0,1,1,0,1,0,2,0,0,3,1,1,0.0,2,5,0,158.0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,13,3.3188116600080293,31.6,18,17
2,1,2,132,1,1.0,1,0,1,1,0,1,1,2,0,0,4,0,0,28000.0,3,2,0,105.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,13,3.692724735062076,52.5,18,17
2,3,2,126,1,2.0,0,1,1,0,0,1,0,2,0,0,4,0,0,28000.0,2,2,0,115.0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1.201217985021747,57.5,20,18
4,1,2,126,1,3.0,0,1,1,1,0,1,2,2,0,0,4,0,0,28000.0,3,4,0,179.0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0.0636495032871037,44.75,10,18
4,4,0,8,0,0.0,0,0,0,0,0,0,3,9,0,0,1,1,1,0.0,0,5,0,158.0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9,10.84597757327772,31.6,10,0
1,1,2,101,1,0.0,0,0,1,0,0,1,3,2,0,0,4,0,0,28000.0,3,1,0,55.0,0,0,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,7.075617376244444,55.0,9,32
1,1,2,114,0,3.0,0,1,1,1,0,1,1,2,0,0,4,0,0,28000.0,3,1,0,48.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,12,3.917974770256273,48.0,16,39
3,1,2,233,1,4.0,0,0,1,0,0,0,3,2,0,0,3,1,1,0.0,3,5,0,431.0,2,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.175571392234678,86.2,9,10
1,1,2,36,1,0.0,0,0,1,1,0,0,3,2,0,0,4,0,0,28000.0,3,2,1,48.0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,9.545782887825164,24.0,11,34
2,1,2,132,1,2.0,1,0,1,0,0,1,3,2,0,0,4,0,0,28000.0,3,2,0,110.0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,21,4.373809281150994,55.0,25,32
1,7,2,133,0,2.0,0,0,1,0,0,0,3,2,0,0,2,0,0,28000.0,5,1,0,34.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2.574014527410831,34.0,12,17
2,1,2,126,1,3.0,0,0,1,0,0,0,3,32,0,0,2,1,1,0.0,3,4,0,130.0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,11,11.161155233856537,32.5,14,42
3,6,0,231,0,0.0,0,0,0,0,0,0,0,10,0,0,4,1,1,0.0,0,5,0,180.0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,15,18.379074143540265,36.0,16,45
4,8,0,156,0,0.0,0,0,0,1,0,0,3,2,1,0,3,1,1,0.0,0,5,1,390.0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8,7.377719644317354,78.0,11,32
1,1,2,15,1,2.0,0,0,0,0,0,0,3,2,0,0,2,0,0,28000.0,3,2,0,54.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5.597290369583784,27.0,7,32
1,1,2,220,1,2.0,0,0,0,0,0,0,3,2,0,0,2,0,0,28000.0,3,3,1,63.0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5.741276854356568,21.0,5,34
1,1,2,179,1,3.0,0,0,0,0,0,1,3,2,0,0,3,0,0,28000.0,3,3,0,60.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,8,5.758300188402555,20.0,10,23
3,6,0,183,0,0.0,0,0,0,1,0,0,3,14,0,0,4,1,1,0.0,0,4,0,190.0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,20,28.10887227949701,47.5,22,27
1,1,2,179,1,3.0,0,0,1,0,0,0,3,2,0,0,1,0,0,28000.0,3,3,0,78.0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9.012628897586913,26.0,10,23
2,1,2,36,1,1.0,0,0,1,0,0,0,3,2,0,0,6,1,1,0.0,3,3,0,171.0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,19,11.099643595755904,57.0,22,34
4,8,0,231,0,0.0,0,0,0,1,0,0,3,10,0,0,4,1,1,0.0,0,5,0,202.0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,19.679683423320544,40.4,11,45
